season,rt_critic_score,rt_user_score,rt_critic_count,rt_user_count
1,100%,87%,18,366
2,100%,93%,8,257
3,100%,94%,5,242
4,100%,94%,11,234
5,100%,95%,5,233
6,100%,96%,7,227
7,100%,95%,6,196
8,100%,96%,7,207
9,67%,91%,6,189
10,100%,90%,5,168
11,,77%,3,153
12,80%,79%,5,147
13,86%,80%,7,136
14,,80%,3,135
15,80%,79%,5,143
16,,69%,4,131
17,,68%,2,120
18,,68%,2,112
19,,68%,4,112
20,80%,75%,5,115
21,,75%,3,106
22,,66%,4,113
23,60%,62%,5,124
24,33%,64%,6,122
25,71%,75%,7,187
26,75%,73%,8,183
27,80%,71%,5,115
28,,60%,4,84
29,100%,68%,5,94
30,,51%,4,79
31,80%,54%,5,52
32,,49%,1,47
33,,59%,2,41
34,,76%,0,21
